15	8	390	190	3850	8.5	amc
15	8	383	170	3563	10	dodge
15	8	340	160	3609	8	plymouth
15	8	400	150	3761	9.5	chevrolet
15	8	455	225	3086	10	buick
25	4	113	95	2372	15	toyota
20	6	198	95	2833	15.5	plymouth
20	6	199	97	2774	15.5	amc
20	6	200	85	2587	16	ford
25	4	97	88	2130	14.5	datsun
25	4	97	46	1835	20.5	volkswagen
25	4	110	87	2672	17.5	peugeot
25	4	107	90	2430	14.5	audi
25	4	104	95	2375	17.5	saab
25	4	121	113	2234	12.5	bmw
20	6	199	90	2648	15	amc
10	8	360	215	4615	14	ford
10	8	307	200	4376	15	chevy
10	8	318	210	4382	13.5	dodge
10	8	304	193	4732	18.5	hi
25	4	97	88	2130	14.5	datsun
30	4	140	90	2264	15.5	chevrolet
25	4	113	95	2228	14	toyota
20	6	232	100	2634	13	amc
15	6	225	105	3439	15.5	plymouth
15	6	250	100	3329	15.5	chevrolet
20	6	250	88	3302	15.5	ford
20	6	232	100	3288	15.5	amc
15	8	350	165	4209	12	chevrolet
15	8	400	175	4464	11.5	pontiac
15	8	351	153	4154	13.5	ford
15	8	318	150	4096	13	plymouth
10	8	383	180	4955	11.5	dodge
15	8	400	170	4746	12	ford
15	8	400	175	5140	12	pontiac
20	6	258	110	2962	13.5	amc
20	4	140	72	2408	19	chevrolet
20	6	250	100	3282	15	pontiac
20	6	250	88	3139	14.5	ford
25	4	122	86	2220	14	mercury
30	4	116	90	2123	14	opel
30	4	79	70	2074	19.5	peugeot
30	4	88	76	2065	14.5	fiat
30	4	71	65	1773	19	toyota
35	4	72	69	1613	18	datsun
25	4	97	60	1834	19	volkswagen
25	4	91	70	1955	20.5	plymouth
25	4	113	95	2278	15.5	toyota
25	4	97.5	80	2126	17	dodge
25	4	97	54	2254	23.5	volkswagen
